[0.000000] (-) TimerEvent: {}
[0.000159] (-) JobUnselected: {'identifier': 'gpg3_cartographer'}
[0.000186] (-) JobUnselected: {'identifier': 'gpg3_fake_node'}
[0.000204] (-) JobUnselected: {'identifier': 'gpg3_msgs'}
[0.000238] (-) JobUnselected: {'identifier': 'gpg3_navigation2'}
[0.000256] (-) JobUnselected: {'identifier': 'gpg3_simulations'}
[0.000294] (gpg3_gazebo) JobQueued: {'identifier': 'gpg3_gazebo', 'dependencies': OrderedDict()}
[0.219091] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle2/model.sdf\n'}
[0.219283] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle2/model.config\n'}
[0.219386] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacles\n'}
[0.219492] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacles/model.sdf\n'}
[0.219614] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacles/model.config\n'}
[0.219717] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/inner_walls\n'}
[0.219931] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/inner_walls/model.sdf\n'}
[0.220022] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/inner_walls/model.config\n'}
[0.220262] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/model.sdf\n'}
[0.220335] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/model.config\n'}
[0.220393] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle_plugin\n'}
[0.220448] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle_plugin/obstacle1.cc\n'}
[0.220518] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle_plugin/obstacle2.cc\n'}
[0.220571] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle_plugin/obstacles.cc\n'}
[0.220631] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_dqn_world/obstacle_plugin/CMakeLists.txt\n'}
[0.220684] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_house\n'}
[0.220735] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_house/model.sdf\n'}
[0.220786] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_house/model.config\n'}
[0.220836] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world\n'}
[0.220886] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/model-1_4.sdf\n'}
[0.220937] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/model.sdf\n'}
[0.220987] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/model.config\n'}
[0.221092] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/meshes\n'}
[0.221391] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/meshes/wall.dae\n'}
[0.221638] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_world/meshes/hexagon.dae\n'}
[0.222027] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world\n'}
[0.222167] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/goal_box\n'}
[0.222386] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/goal_box/model.sdf\n'}
[0.222645] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/goal_box/model.config\n'}
[0.222826] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle1\n'}
[0.223021] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle1/model.sdf\n'}
[0.223217] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle1/model.config\n'}
[0.223352] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle2\n'}
[0.223500] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle2/model.sdf\n'}
[0.223647] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle2/model.config\n'}
[0.223794] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacles\n'}
[0.223926] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacles/model.sdf\n'}
[0.224137] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacles/model.config\n'}
[0.224484] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/inner_walls\n'}
[0.224710] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/inner_walls/model.sdf\n'}
[0.226276] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/inner_walls/model.config\n'}
[0.226489] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/model.sdf\n'}
[0.226623] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/model.config\n'}
[0.226736] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle_plugin\n'}
[0.226881] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle_plugin/obstacle1.cc\n'}
[0.227031] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle_plugin/obstacle2.cc\n'}
[0.227176] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle_plugin/obstacles.cc\n'}
[0.227308] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_dqn_world/obstacle_plugin/CMakeLists.txt\n'}
[0.227455] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_waffle\n'}
[0.227587] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_waffle/model-1_4.sdf\n'}
[0.227721] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_waffle/model.sdf\n'}
[0.227854] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_waffle/model.config\n'}
[0.227970] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common\n'}
[0.228147] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/model.config\n'}
[0.228255] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes\n'}
[0.228347] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/waffle_base.dae\n'}
[0.228460] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/tire.dae\n'}
[0.228736] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/burger_base.dae\n'}
[0.228866] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/r200.dae\n'}
[0.229055] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/waffle_pi_base.dae\n'}
[0.229183] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/turtlebot3_common/meshes/lds.dae\n'}
[0.229311] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_gopigo3\n'}
[0.229425] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_gopigo3/model-1_4.sdf\n'}
[0.229567] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_gopigo3/model.sdf\n'}
[0.229666] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_gopigo3/model.config\n'}
[0.229924] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common\n'}
[0.230114] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/model.config\n'}
[0.230214] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes\n'}
[0.230341] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/waffle_base.dae\n'}
[0.230471] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/gopigo3_base.dae\n'}
[0.230600] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/tire.dae\n'}
[0.230735] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/burger_base.dae\n'}
[0.230837] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/r200.dae\n'}
[0.230990] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/waffle_pi_base.dae\n'}
[0.231112] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//models/gpg3_common/meshes/lds.dae\n'}
[0.231253] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//rviz\n'}
[0.231382] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//rviz/gpg3_gazebo.rviz\n'}
[0.231478] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf\n'}
[0.231590] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf/common_properties.urdf\n'}
[0.231725] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf/turtlebot3_waffle_pi.urdf\n'}
[0.232013] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf/turtlebot3_waffle.urdf\n'}
[0.232164] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf/turtlebot3_burger.urdf\n'}
[0.232280] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//urdf/gpg3_gopigo3.urdf\n'}
[0.232392] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds\n'}
[0.232509] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_dqn_stage4.world\n'}
[0.232996] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_dqn_stage3.world\n'}
[0.233177] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_dqn_stage2.world\n'}
[0.233317] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_world.world\n'}
[0.233468] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/empty_world.world\n'}
[0.233600] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_house.world\n'}
[0.233731] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_dqn_stage4.world\n'}
[0.233862] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_world.world\n'}
[0.233980] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_house.world\n'}
[0.234209] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_dqn_stage1.world\n'}
[0.234347] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/turtlebot3_dqn_stage3.world\n'}
[0.234479] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_dqn_stage1.world\n'}
[0.234642] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo//worlds/gpg3_dqn_stage2.world\n'}
[0.234771] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/include/\n'}
[0.234899] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/include//gpg3_gazebo\n'}
[0.235071] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/include//gpg3_gazebo/gpg3_drive.hpp\n'}
[0.235610] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/ament_index/resource_index/package_run_dependencies/gpg3_gazebo\n'}
[0.235762] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/ament_index/resource_index/parent_prefix_path/gpg3_gazebo\n'}
[0.235899] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/environment/ament_prefix_path.sh\n'}
[0.236060] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/environment/ament_prefix_path.dsv\n'}
[0.236479] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/environment/path.sh\n'}
[0.236614] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/environment/path.dsv\n'}
[0.236745] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/local_setup.bash\n'}
[0.236875] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/local_setup.sh\n'}
[0.236985] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/local_setup.zsh\n'}
[0.237272] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/local_setup.dsv\n'}
[0.237408] (gpg3_gazebo) StdoutLine: {'line': b'-- Installing: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/package.dsv\n'}
[0.237539] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/ament_index/resource_index/packages/gpg3_gazebo\n'}
[0.237669] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/cmake/ament_cmake_export_include_directories-extras.cmake\n'}
[0.237800] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/cmake/ament_cmake_export_dependencies-extras.cmake\n'}
[0.237932] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/cmake/gpg3_gazeboConfig.cmake\n'}
[0.238197] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/cmake/gpg3_gazeboConfig-version.cmake\n'}
[0.238419] (gpg3_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/gopi5go_desk/simws/install/gpg3_gazebo/share/gpg3_gazebo/package.xml\n'}
[0.238760] (gpg3_gazebo) CommandEnded: {'returncode': 0}
[0.299433] (-) TimerEvent: {}
[0.323017] (gpg3_gazebo) JobEnded: {'identifier': 'gpg3_gazebo', 'rc': 0}
[0.323909] (-) EventReactorShutdown: {}
